root, WNsense, synonyms, definition, Category
damn,WID-00025144-R-??-damn,"(bloody, damn, all-fired)","extremely; ""you are bloody right""; ""Why are you so all-fired aggressive?""",Not-a-Feeling
strain,WID-00025203-V-??-strain,"(tense, strain, tense_up)","cause to be tense and uneasy or nervous or anxious; ""he got a phone call from his lawyer that tensed him up""",Actions
tense,WID-00025203-V-??-tense,"(tense, strain, tense_up)","cause to be tense and uneasy or nervous or anxious; ""he got a phone call from his lawyer that tensed him up""",Actions
bend,WID-00025985-V-??-unbend,(unbend),"release from mental strain, tension, or formality; ""unbend the mind from absorbing too much information""",Not-a-Feeling
tense,WID-00026153-V-??-tense,"(tense, tense_up)","become tense, nervous, or uneasy; ""He tensed up when he saw his opponent enter the room""",Not-a-Feeling
bend,WID-00026385-V-??-unbend,"(relax, loosen_up, unbend, unwind, decompress, slow_down)","become less tense, rest, or take one's ease; ""He relaxed in the hot tub""; ""Let's all relax after a hard day's work""",Not-a-Feeling
extend,WID-00027268-V-??-extend,"(stretch, extend)","extend one's limbs or muscles, or the entire body; ""Stretch your legs!""; ""Extend your right arm above your head""",Physiological
stretch,WID-00027268-V-??-stretch,"(stretch, extend)","extend one's limbs or muscles, or the entire body; ""Stretch your legs!""; ""Extend your right arm above your head""",Physiological
extend,WID-00027705-V-??-extend,"(exsert, stretch_out, put_out, extend, hold_out, stretch_forth)","thrust or extend out; ""He held out his hand""; ""point a finger""; ""extend a hand""; ""the bee exserted its sting""",Not-a-Feeling
acknowledge,WID-00028672-A-??-unacknowledged,(unacknowledged),not recognized or admitted,Social
appreciate,WID-00028867-A-??-unappreciated,"(unappreciated, unsung, unvalued)",having value that is not acknowledged,Social
acquisitive,WID-00029343-A-??-acquisitive,(acquisitive),"eager to acquire and possess things especially material possessions or ideas; ""an acquisitive mind""; ""an acquisitive society in which the craving for material things seems never satisfied""",Actions
avarice,WID-00029933-A-??-avaricious,"(avaricious, covetous, grabby, grasping, greedy, prehensile)","immoderately desirous of acquiring e.g. wealth; ""they are avaricious and will do anything for money""; ""casting covetous eyes on his neighbor's fields""; ""a grasping old miser""; ""grasping commercialism""; ""greedy for money and power""; ""grew richer and greedier""; ""prehensile employers stingy with raises for their employees""",Actions
covet,WID-00029933-A-??-covetous,"(avaricious, covetous, grabby, grasping, greedy, prehensile)","immoderately desirous of acquiring e.g. wealth; ""they are avaricious and will do anything for money""; ""casting covetous eyes on his neighbor's fields""; ""a grasping old miser""; ""grasping commercialism""; ""greedy for money and power""; ""grew richer and greedier""; ""prehensile employers stingy with raises for their employees""",Actions
break,WID-00030463-V-??-break,(break),"weaken or destroy in spirit or body; ""His resistance was broken""; ""a man broken by the terrible experience of near-death""",Physiological
possessive,WID-00030508-A-??-possessive,(possessive),"desirous of owning; ""small children are so possessive they will not let others play with their toys""",Attraction
sordid,WID-00031384-A-??-sordid,(sordid),"meanly avaricious and mercenary; ""sordid avarice""; ""sordid material interests""",Actions
anymore,WID-00031606-R-??-anymore,"(anymore, any_longer)","at the present or from now on; usually used with a negative; ""Alice doesn't live here anymore""; ""the children promised not to quarrel any more""",Not-a-Feeling
really,WID-00031899-R-??-really,"(very, really, real, rattling)","used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal; ""she was very gifted""; ""he played very well""; ""a really enjoyable evening""; ""I'm real sorry about it""; ""a rattling good yarn""",Not-a-Feeling
incredible,WID-00032180-R-??-incredibly,"(fabulously, fantastically, incredibly)","exceedingly; extremely; ""she plays fabulously well""",Not-a-Feeling
mighty,WID-00032299-R-??-mighty,"(mighty, mightily, powerful, right)","(Southern regional intensive) very; to a great degree; ""the baby is mighty cute""; ""he's mighty tired""; ""it is powerful humid""; ""that boy is powerful big now""; ""they have a right nice place""; ""they rejoiced mightily""",Not-a-Feeling
power,WID-00032299-R-??-powerful,"(mighty, mightily, powerful, right)","(Southern regional intensive) very; to a great degree; ""the baby is mighty cute""; ""he's mighty tired""; ""it is powerful humid""; ""that boy is powerful big now""; ""they have a right nice place""; ""they rejoiced mightily""",Not-a-Feeling
right,WID-00032299-R-??-right,"(mighty, mightily, powerful, right)","(Southern regional intensive) very; to a great degree; ""the baby is mighty cute""; ""he's mighty tired""; ""it is powerful humid""; ""that boy is powerful big now""; ""they have a right nice place""; ""they rejoiced mightily""",Not-a-Feeling
astir,WID-00032358-A-??-astir,"(about, astir)","on the move; ""up and about""; ""the whole town was astir over the incident""",Actions
sneer,WID-00032539-V-??-sneer,(sneer),"smile contemptuously; ""she sneered at her little sister's efforts to play the song on the piano""",Not-a-Feeling
nimble,WID-00032733-A-??-nimble,"(agile, nimble, quick, spry)","moving quickly and lightly; ""sleek and agile as a gymnast""; ""as nimble as a deer""; ""nimble fingers""; ""quick of foot""; ""the old dog was so spry it was halfway up the stairs before we could stop it""",Actions
quick,WID-00032733-A-??-quick,"(agile, nimble, quick, spry)","moving quickly and lightly; ""sleek and agile as a gymnast""; ""as nimble as a deer""; ""nimble fingers""; ""quick of foot""; ""the old dog was so spry it was halfway up the stairs before we could stop it""",Actions
spry,WID-00032733-A-??-spry,"(agile, nimble, quick, spry)","moving quickly and lightly; ""sleek and agile as a gymnast""; ""as nimble as a deer""; ""nimble fingers""; ""quick of foot""; ""the old dog was so spry it was halfway up the stairs before we could stop it""",Actions
sneer,WID-00032778-V-??-sneer,(sneer),"express through a scornful smile; ""she sneered her contempt""",Not-a-Feeling
hot,WID-00033077-A-??-hot,(hot),"marked by excited activity; ""a hot week on the stock market""",Not-a-Feeling
just,WID-00033308-R-??-just,"(just, just_now)","only a moment ago; ""he has just arrived""; ""the sun just now came out""",Not-a-Feeling
stare,WID-00033406-V-??-stare,(stare),"fixate one's eyes; ""The ancestor in the painting is staring down menacingly""",Not-a-Feeling
instantaneous,WID-00033421-R-??-instantaneously,"(instantaneously, outright, instantly, in_a_flash)","without any delay; ""he was killed outright""",Not-a-Feeling
look,WID-00033599-V-??-look,(look),"have a certain outward or facial expression; ""How does she look?""; ""The child looks unhappy""; ""She looked pale after the surgery""",Not-a-Feeling
soon,WID-00033922-R-??-soon,"(soon, shortly, presently, before_long)","in the near future; ""the doctor will soon be here""; ""the book will appear shortly""; ""she will arrive presently""; ""we should have news before long""",Not-a-Feeling
dormant,WID-00034032-A-??-dormant,"(abeyant, dormant)","inactive but capable of becoming active; ""her feelings of affection are dormant but easily awakened""",Actions
grimace,WID-00034288-V-??-grimace,"(grimace, make_a_face, pull_a_face)","contort the face to indicate a certain mental or emotional state; ""He grimaced when he saw the amount of homework he had to do""",Not-a-Feeling
sluggish,WID-00034322-A-??-sluggish,"(inert, sluggish, soggy, torpid)","slow and apathetic; ""she was fat and inert""; ""a sluggish worker""; ""a mind grown torpid in old age""",Physiological
torpid,WID-00034322-A-??-torpid,"(inert, sluggish, soggy, torpid)","slow and apathetic; ""she was fat and inert""; ""a sluggish worker""; ""a mind grown torpid in old age""",Physiological
momentary,WID-00034403-R-??-momentarily,"(momentarily, momently)","at any moment; ""she will be with you momently""",Not-a-Feeling
soon,WID-00034641-R-??-soonest,"(soonest, earliest)","with the least delay; ""the soonest I can arrive is 3 P.M.""",Not-a-Feeling
passion,WID-00034945-R-??-passionately,"(stormily, turbulently, passionately)",in a stormy or violent manner,Not-a-Feeling
oftentimes,WID-00035058-R-??-oftentimes,"(frequently, often, oftentimes, oft, ofttimes)","many times at short intervals; ""we often met over a cup of coffee""",Not-a-Feeling
foment,WID-00035448-V-??-foment,(foment),"bathe with warm water or medicated lotions; ""His legs should be fomented""",Not-a-Feeling
odd,WID-00035491-R-??-oddly,"(curiously, oddly, peculiarly)","in a manner differing from the usual or expected; ""had a curiously husky voice""; ""he's behaving rather peculiarly""",Not-a-Feeling
peculiar,WID-00035491-R-??-peculiarly,"(curiously, oddly, peculiarly)","in a manner differing from the usual or expected; ""had a curiously husky voice""; ""he's behaving rather peculiarly""",Not-a-Feeling
jolly,WID-00035718-R-??-jolly,"(reasonably, moderately, pretty, jolly, somewhat, fairly, middling, passably)","to a moderately sufficient extent or degree; ""pretty big""; ""pretty bad""; ""jolly decent of him""; ""the shoes are priced reasonably""; ""he is fairly clever with computers""",Not-a-Feeling
pass,WID-00035718-R-??-passably,"(reasonably, moderately, pretty, jolly, somewhat, fairly, middling, passably)","to a moderately sufficient extent or degree; ""pretty big""; ""pretty bad""; ""jolly decent of him""; ""the shoes are priced reasonably""; ""he is fairly clever with computers""",Not-a-Feeling
pretty,WID-00035718-R-??-pretty,"(reasonably, moderately, pretty, jolly, somewhat, fairly, middling, passably)","to a moderately sufficient extent or degree; ""pretty big""; ""pretty bad""; ""jolly decent of him""; ""the shoes are priced reasonably""; ""he is fairly clever with computers""",Not-a-Feeling
reason,WID-00035718-R-??-reasonably,"(reasonably, moderately, pretty, jolly, somewhat, fairly, middling, passably)","to a moderately sufficient extent or degree; ""pretty big""; ""pretty bad""; ""jolly decent of him""; ""the shoes are priced reasonably""; ""he is fairly clever with computers""",Not-a-Feeling
somewhat,WID-00035718-R-??-somewhat,"(reasonably, moderately, pretty, jolly, somewhat, fairly, middling, passably)","to a moderately sufficient extent or degree; ""pretty big""; ""pretty bad""; ""jolly decent of him""; ""the shoes are priced reasonably""; ""he is fairly clever with computers""",Not-a-Feeling
clean,WID-00035758-V-??-clean,"(cleanse, clean)","clean one's body or parts thereof, as by washing; ""clean up before you see your grandparents""; ""clean your fingernails before dinner""",Not-a-Feeling
brisk,WID-00035779-A-??-brisk,(brisk),"very active; ""doing a brisk business""",Not-a-Feeling
busy,WID-00035978-A-??-busy,(busy),"crowded with or characterized by much activity; ""a very busy week""; ""a busy life""; ""a busy street""; ""a busy seaport""",Not-a-Feeling
open,WID-00036254-A-??-open,(open),"ready for business; ""the stores are open""",Not-a-Feeling
somewhat,WID-00036291-R-??-somewhat,"(slightly, somewhat, more_or_less)","to a small degree or extent; ""his arguments were somewhat self-contradictory""; ""the children argued because one slice of cake was slightly larger than the other""",Not-a-Feeling
springy,WID-00036346-A-??-springy,(springy),"(of movements) light and confidently active; ""he walked away with a springy step""",Not-a-Feeling
dark,WID-00036763-A-??-dark,(dark),"not giving performances; closed; ""the theater is dark on Mondays""",Not-a-Feeling
dead,WID-00036879-A-??-dead,(dead),"devoid of activity; ""this is a dead town; nothing ever happens here""",Not-a-Feeling
soap,WID-00036932-V-??-soap,"(soap, lather)","rub soap all over, usually with the purpose of cleaning",Not-a-Feeling
dull,WID-00036998-A-??-dull,"(dull, slow, sluggish)","(of business) not active or brisk; ""business is dull (or slow)""; ""a sluggish market""",Not-a-Feeling
